Occupation,Hydrogen Capabilities,Value Chain,Technology
Asset performance manager,"Understanding technical factors associated with using hydrogen blending for heating; Knowledge of hydrogen related regulations, standards, and codes; Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Heating Application
Utility services planner,"Knowledge of hydrogen related regulations, standards, and codes; Knowledge of odorants used to assist with leak detection of hydrogen; Materials, coatings, and inhibitors to use and correct application to protect from hydrogen corrosion; Practices, technologies, equipment, and systems to control hydrogen corrosion or embrittlement; Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Heating Application
Maintenance planner,"Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Heating Application
Power scheduler,"Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Heating Application
Project manager,"Knowledge of hydrogen related regulations, standards, and codes; Strong industry knowledge and experience with hydrogen technologies, processes and equipment, and components to use to withstand hydrogen pressure and temperatures; Comprehensive understanding of aspects of installation and testing procedures that are different due to the nature of hydrogen; Knowledge of materials, equipment, and components to use to withstand hydrogen pressure and temperatures; Procedures to trace, locate, and repair hydrogen leaks.1; Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Heating Application
Business and technology manager development manager,"Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Heating Application
Supply chain manager,Safety when working with or around hydrogen,Hydrogen End-Use Application,Hydrogen Heating Application
Sales and marketing manager,"Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Heating Application
Administrative manager,"Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Heating Application
Investment manager,"Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Heating Application
Communications manager,"Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Heating Application
Chemical Engineer,"Understanding hydrogen production processes and electrochemical processes and reactions; Knowledge of electrolyser hydrogen production plant control systems and advanced control systems for process optimisation; Evaluating performance and production quality, diagnosing and addressing production and process issues relating to hydrogen; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen",Hydrogen Storage ,<not_included>
Civil Engineer,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen Storage ,<not_included>
Commissioning Engineer,"Understanding hydrogen production processes and electrochemical processes and reactions; Appropriate selection, design, and maintenance of related production equipment, materials, coatings, and similar; Appropriate selection, design, and maintenance of electrolysers, vessels, piping systems and fitting, valves, and seals to withstand hydrogen pressure (high/low) and temperatures (hot/cold); Appropriate selection, design, and maintenance of combustion, compression, pumping and turbine systems, and equipment to withstand hydrogen pressure (high/low) and temperatures (hot/cold); Evaluating performance and production quality, diagnosing and addressing production and process issues relating to hydrogen; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen",Hydrogen Storage ,<not_included>
Electrical Engineer,"Knowledge of key electrical equipment used to produce hydrogen; Knowledge of key instrumentation and electrical equipment and systems used to produce hydrogen; Optimising rectification arrangement for electrolyser plants; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen",Hydrogen Storage ,<not_included>
Instrumentation Engineer,"Knowledge of key instrumentation and electrical equipment and systems used to produce hydrogen; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen",Hydrogen Storage ,<not_included>
Environmental Engineer,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Storage ,<not_included>
Robotics and Automation Engineer,"Understanding hydrogen production processes and electrochemical processes and reactions; Appropriate selection, design, and maintenance of related production equipment, materials, coatings, and similar; Appropriate selection, design, and maintenance of electrolysers, vessels, piping systems and fitting, valves, and seals to withstand hydrogen pressure (high/low) and temperatures (hot/cold); Appropriate selection, design, and maintenance of combustion, compression, pumping and turbine systems, and equipment to withstand hydrogen pressure (high/low) and temperatures (hot/cold); Knowledge of automated process systems and control systems associated with electrolysers; Well design and material choices based on an understanding of the regulatory environment, hydrogen injection stream properties, changes in hydrogen pressure over time, and potential corrosive elements; Migration modelling zone selection and storage design; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Storage ,<not_included>
Facility Engineer,"Understanding hydrogen production processes and electrochemical processes and reactions; Appropriate selection, design, and maintenance of related production equipment, materials, coatings, and similar; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Storage ,<not_included>
Gas Engineer,"Understanding hydrogen production processes and electrochemical processes and reactions; Appropriate selection, design, and maintenance of related production equipment, materials, coatings, and similar; Appropriate selection, design, and maintenance of electrolysers, vessels, piping systems and fitting, valves, and seals to withstand hydrogen pressure (high/low) and temperatures (hot/cold); Appropriate selection, design, and maintenance of combustion, compression, pumping and turbine systems, and equipment to withstand hydrogen pressure (high/low) and temperatures (hot/cold); Well design and material choices based on an understanding of the regulatory environment, hydrogen injection stream properties, changes in hydrogen pressure over time, and potential corrosive elements; Migration modelling zone selection and storage design; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Storage ,<not_included>
Grid Connection Engineer,"Understanding hydrogen production processes and electrochemical processes and reactions; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Storage ,<not_included>
Industrial Engineer,"Understanding hydrogen production processes and electrochemical processes and reactions; Knowledge of electrolyser hydrogen production plant control systems and advanced control systems for process optimisation; Appropriate selection, design, and maintenance of related production equipment, materials, coatings, and similar; Evaluating performance and production quality, diagnosing and addressing production and process issues relating to hydrogen; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Storage ,<not_included>
Mechatronics Engineer,"Evaluating performance and production quality, diagnosing and addressing production and process issues relating to hydrogen; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Storage ,<not_included>
Mechanical Engineer,"Understanding hydrogen production processes and electrochemical processes and reactions; Appropriate selection, design, and maintenance of electrolysers, vessels, piping systems and fitting, valves, and seals to withstand hydrogen pressure (high/low) and temperatures (hot/cold); Appropriate selection, design, and maintenance of combustion, compression, pumping and turbine systems, and equipment to withstand hydrogen pressure (high/low) and temperatures (hot/cold); Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Storage ,<not_included>
Process Engineer,"Understanding hydrogen production processes and electrochemical processes and reactions; Evaluating performance and production quality, diagnosing and addressing production and process issues relating to hydrogen; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Storage ,<not_included>
Process Control Engineer,"Understanding hydrogen production processes and electrochemical processes and reactions; Knowledge of electrolyser hydrogen production plant control systems and advanced control systems for process optimisation; Evaluating performance and production quality, diagnosing and addressing production and process issues relating to hydrogen; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Storage ,<not_included>
Safety Engineer,"Understanding hydrogen production processes and electrochemical processes and reactions; Process engineering and control skills specific to hydrogen including hazard risk analysis and reviews, mechanical integrity and instrumented system analysis, and operation readiness inspection; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Storage ,<not_included>
Production Engineer,"Understanding hydrogen production processes and electrochemical processes and reactions; Evaluating performance and production quality, diagnosing and addressing production and process issues relating to hydrogen; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen",Hydrogen Storage ,<not_included>
Cavern Engineer,"Understanding of cavern engineering fundamentals for hydrogen injection and well testing, pressure and rate transient analysis, and fluid characterisation; Pressure, voltage, and temperature characterisation and thermal/flow modelling, specific to sequestered gas and/or liquid composition; Migration modelling zone selection and storage design; Modelling hydrogen-water-minerals interactions; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen",Hydrogen Storage ,<not_included>
Drilling Engineer,"Well design and material choices based on an understanding of the regulatory environment, hydrogen injection stream properties, changes in hydrogen pressure over time, and potential corrosive elements; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen",Hydrogen Storage ,<not_included>
Pipeline Engineer,"Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen",Hydrogen Storage ,<not_included>
Research and Development Engineer,"Understanding hydrogen production processes and electrochemical processes and reactions; Knowledge of key electrical equipment used to produce hydrogen; Knowledge of key instrumentation and electrical equipment and systems used to produce hydrogen; Knowledge of electrolyser hydrogen production plant control systems and advanced control systems for process optimisation; Optimising rectification arrangement for electrolyser plants; Appropriate selection, design, and maintenance of related production equipment, materials, coatings, and similar; Appropriate selection, design, and maintenance of electrolysers, vessels, piping systems and fitting, valves, and seals to withstand hydrogen pressure (high/low) and temperatures (hot/cold); Appropriate selection, design, and maintenance of combustion, compression, pumping and turbine systems, and equipment to withstand hydrogen pressure (high/low) and temperatures (hot/cold); Evaluating performance and production quality, diagnosing and addressing production and process issues relating to hydrogen; Well design and material choices based on an understanding of the regulatory environment, hydrogen injection stream properties, changes in hydrogen pressure over time, and potential corrosive elements; Migration modelling zone selection and storage design; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Storage ,<not_included>
Software Engineer,"Appropriate selection, design, and maintenance of electrolysers, vessels, piping systems and fitting, valves, and seals to withstand hydrogen pressure (high/low) and temperatures (hot/cold); Migration modelling zone selection and storage design; Safety when working with or around hydrogen",Hydrogen Storage ,<not_included>
Locomotive Engineer,"Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Storage ,<not_included>
Welding Engineer,"Knowledge of key electrical equipment used to produce hydrogen; Knowledge of key instrumentation and electrical equipment and systems used to produce hydrogen; Knowledge of electrolyser hydrogen production plant control systems and advanced control systems for process optimisation; Appropriate selection, design, and maintenance of related production equipment, materials, coatings, and similar; Appropriate selection, design, and maintenance of electrolysers, vessels, piping systems and fitting, valves, and seals to withstand hydrogen pressure (high/low) and temperatures (hot/cold); Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Storage ,<not_included>
Materials Engineer,"Understanding hydrogen production processes and electrochemical processes and reactions; Appropriate selection, design, and maintenance of related production equipment, materials, coatings, and similar; Appropriate selection, design, and maintenance of electrolysers, vessels, piping systems and fitting, valves, and seals to withstand hydrogen pressure (high/low) and temperatures (hot/cold); Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen",Hydrogen Storage ,<not_included>
Systems Engineer,"Knowledge of key instrumentation and electrical equipment and systems used to produce hydrogen; Knowledge of electrolyser hydrogen production plant control systems and advanced control systems for process optimisation; Appropriate selection, design, and maintenance of electrolysers, vessels, piping systems and fitting, valves, and seals to withstand hydrogen pressure (high/low) and temperatures (hot/cold); Appropriate selection, design, and maintenance of combustion, compression, pumping and turbine systems, and equipment to withstand hydrogen pressure (high/low) and temperatures (hot/cold); Process engineering and control skills specific to hydrogen including hazard risk analysis and reviews, mechanical integrity and instrumented system analysis, and operation readiness inspection; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen",Hydrogen Storage ,<not_included>
Renewable Energy Engineer,"Understanding hydrogen production processes and electrochemical processes and reactions; Evaluating performance and production quality, diagnosing and addressing production and process issues relating to hydrogen; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen",Hydrogen Storage ,<not_included>
Refueling Station Engineer,"Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Storage ,<not_included>
Electrolysis Engineer,"Understanding hydrogen production processes and electrochemical processes and reactions; Knowledge of key electrical equipment used to produce hydrogen; Knowledge of key instrumentation and electrical equipment and systems used to produce hydrogen; Knowledge of electrolyser hydrogen production plant control systems and advanced control systems for process optimisation; Optimising rectification arrangement for electrolyser plants; Appropriate selection, design, and maintenance of related production equipment, materials, coatings, and similar; Appropriate selection, design, and maintenance of electrolysers, vessels, piping systems and fitting, valves, and seals to withstand hydrogen pressure (high/low) and temperatures (hot/cold); Evaluating performance and production quality, diagnosing and addressing production and process issues relating to hydrogen; Knowledge of automated process systems and control systems associated with electrolysers; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Storage ,<not_included>
Electrochemical Engineer,"Understanding hydrogen production processes and electrochemical processes and reactions; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Storage ,<not_included>
Fuel Cell Engineer,"Understanding hydrogen production processes and electrochemical processes and reactions; Knowledge of key electrical equipment used to produce hydrogen; Knowledge of key instrumentation and electrical equipment and systems used to produce hydrogen; Evaluating performance and production quality, diagnosing and addressing production and process issues relating to hydrogen; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Storage ,<not_included>
Marine Engineer,"Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Storage ,<not_included>
Hydraulic Engineer,"Appropriate selection, design, and maintenance of electrolysers, vessels, piping systems and fitting, valves, and seals to withstand hydrogen pressure (high/low) and temperatures (hot/cold); Appropriate selection, design, and maintenance of combustion, compression, pumping and turbine systems, and equipment to withstand hydrogen pressure (high/low) and temperatures (hot/cold); Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Storage ,<not_included>
Design Engineer,"Understanding hydrogen production processes and electrochemical processes and reactions; Appropriate selection, design, and maintenance of related production equipment, materials, coatings, and similar; Appropriate selection, design, and maintenance of electrolysers, vessels, piping systems and fitting, valves, and seals to withstand hydrogen pressure (high/low) and temperatures (hot/cold); Appropriate selection, design, and maintenance of combustion, compression, pumping and turbine systems, and equipment to withstand hydrogen pressure (high/low) and temperatures (hot/cold); Evaluating performance and production quality, diagnosing and addressing production and process issues relating to hydrogen; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Storage ,<not_included>
Quality Engineer,"Understanding hydrogen production processes and electrochemical processes and reactions; Optimising rectification arrangement for electrolyser plants; Appropriate selection, design, and maintenance of related production equipment, materials, coatings, and similar; Appropriate selection, design, and maintenance of electrolysers, vessels, piping systems and fitting, valves, and seals to withstand hydrogen pressure (high/low) and temperatures (hot/cold); Appropriate selection, design, and maintenance of combustion, compression, pumping and turbine systems, and equipment to withstand hydrogen pressure (high/low) and temperatures (hot/cold); Evaluating performance and production quality, diagnosing and addressing production and process issues relating to hydrogen; Understanding of cavern engineering fundamentals for hydrogen injection and well testing, pressure and rate transient analysis, and fluid characterisation; Migration modelling zone selection and storage design; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Storage ,<not_included>
Renewable Interconnect Specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Transportation
Automation and Control Specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Transportation
Corrosion specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Transportation
Measurement specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Transportation
Pipeline integrity specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Transportation
Tank tester or inspector,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Transportation
Transportation solutions advisor,"Knowledge of hydrogen fuel cell technology, how it works, and value proposition relating to emissions targets and cost-effectiveness; Knowledge of hydrogen production, distribution, and dispensing technology to meet the needs of different fleets; Understanding relevant hydrogen regulations, codes, and standards; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Transportation
Hydrogen integration specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Transportation
Utility inspector,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Transportation
Lawyer,"Understanding relevant hydrogen regulations, codes, and standards",Hydrogen End-Use Application,Hydrogen Transportation
Safety and hazards specialist,"Hydrogen properties, behaviour, and potential hazards created",Hydrogen End-Use Application,Hydrogen Transportation
Business developer,"Hydrogen properties, behaviour, and potential hazards created",Hydrogen End-Use Application,Hydrogen Transportation
Supply chain specialist,"Knowledge of hydrogen fuel cell technology, how it works, and value proposition relating to emissions targets and cost-effectiveness; Knowledge of hydrogen production, distribution, and dispensing technology to meet the needs of different fleets; Understanding relevant hydrogen regulations, codes, and standards; Hydrogen properties, behaviour, and potential hazards created",Hydrogen End-Use Application,Hydrogen Transportation
Power-to-X technology specialist,"Knowledge of hydrogen fuel cell technology, how it works, and value proposition relating to emissions targets and cost-effectiveness; Knowledge of hydrogen production, distribution, and dispensing technology to meet the needs of different fleets; Understanding relevant hydrogen regulations, codes, and standards; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Transportation
Hydrogen value chain e×pert,"Knowledge of hydrogen fuel cell technology, how it works, and value proposition relating to emissions targets and cost-effectiveness; Knowledge of hydrogen production, distribution, and dispensing technology to meet the needs of different fleets; Understanding relevant hydrogen regulations, codes, and standards; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Transportation
Innovation specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Transportation
Energy storage specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Transportation
Energy transition specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Transportation
Operation optimisation specialist,"Knowledge of hydrogen fuel cell technology, how it works, and value proposition relating to emissions targets and cost-effectiveness; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Transportation
Technology commercialisation Specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Transportation
Grid operation specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Transportation
BOP specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Transportation
Land acquisition specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Transportation
Nanotechnology specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Transportation
Marine engines e×pert,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Transportation
Plant manager,"Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Transportation
Drilling and completions supervisor,"Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Transportation
Pipeline scheduler,"Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Transportation
Asset performance manager,"Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Transportation
Utility services planner,"Knowledge of hydrogen fuel cell technology, how it works, and value proposition relating to emissions targets and cost-effectiveness; Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Transportation
Maintenance planner,"Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Transportation
Power scheduler,"Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Transportation
Project manager,"Knowledge of hydrogen fuel cell technology, how it works, and value proposition relating to emissions targets and cost-effectiveness; Knowledge of hydrogen production, distribution, and dispensing technology to meet the needs of different fleets; Understanding relevant hydrogen regulations, codes, and standards; Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Transportation
Business and technology manager development manager,"Knowledge of hydrogen fuel cell technology, how it works, and value proposition relating to emissions targets and cost-effectiveness; Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Transportation
Supply chain manager,Safety when working with or around hydrogen,Hydrogen End-Use Application,Hydrogen Transportation
Sales and marketing manager,"Knowledge of hydrogen fuel cell technology, how it works, and value proposition relating to emissions targets and cost-effectiveness; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Transportation
Administrative manager,"Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Transportation
Investment manager,"Knowledge of hydrogen fuel cell technology, how it works, and value proposition relating to emissions targets and cost-effectiveness; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Transportation
Communications manager,"Knowledge of hydrogen fuel cell technology, how it works, and value proposition relating to emissions targets and cost-effectiveness; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Transportation
Renewable Interconnect Specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Storage,<not_included>
Automation and Control Specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Storage,<not_included>
"Geoscience Professional: Geologist, Geophysicist, Geotechnical Specialist",Understanding properties and characteristics of hydrogen in a gaseous state,Hydrogen Storage,<not_included>
Compression specialist,"Appropriate selection, design, and maintenance of hydrogen compression, turbine systems, and equipment; Understanding hydrogen compression processes",Hydrogen Storage,<not_included>
Corrosion specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Storage,<not_included>
Measurement specialist,"Understanding measurement equipment and instrumentation associated with hydrogen transmission; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Storage,<not_included>
Pipeline integrity specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Storage,<not_included>
Tank tester or inspector,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Storage,<not_included>
Transportation solutions advisor,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Storage,<not_included>
Hydrogen integration specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Storage,<not_included>
Utility inspector,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Storage,<not_included>
Safety and hazards specialist,"Hydrogen properties, behaviour, and potential hazards created",Hydrogen Storage,<not_included>
Business developer,"Hydrogen properties, behaviour, and potential hazards created",Hydrogen Storage,<not_included>
Supply chain specialist,"Hydrogen properties, behaviour, and potential hazards created",Hydrogen Storage,<not_included>
Power-to-X technology specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Storage,<not_included>
Hydrogen value chain e×pert,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Storage,<not_included>
Innovation specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Storage,<not_included>
Energy storage specialist,"Understanding properties and characteristics of hydrogen in a gaseous state; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Storage,<not_included>
Energy transition specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Storage,<not_included>
Operation optimisation specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Storage,<not_included>
Technology commercialisation Specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Storage,<not_included>
Grid operation specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Storage,<not_included>
