id,requirement
298,"Knowledge of hydrogen production, distribution, and dispensing technology
"
299,Advanced knowledge of legislation relating to hydrogen safety codes and standards 
300,Understanding of cryogenic and gaseous hydrogen storage and delivery systems
301,Knowledge of key instrumentation and electrical equipment and systems used to produce hydrogen
302,Knowledge of key high power electrical equipment associated with electrolyzer produced hydrogen
303,They will also need to be familiar with gas systems and the work health and safety procedures required in their workshops to work around gases.
304,"Knowledge of hydrogen-related regulations, standards, and codes"
305,Understanding of combined- cycle power generation using hydrogen blending
306,Migration modelling zone selection and storage design
307,"Knowledge of environmental laws, regulations and practices pertaining to hydrogen and related infrastructure and operations"
308,"Knowledge of appropriate materials, seals, and coatings"
309,"Knowledge of hydrogen properties, its risks and interactions with various materials will be expected skills to ensure safe hydrogen processes and that pipelines are in safe physical conditions "
310,Knowledge of automated process systems and controls systems associated with power generation using hydrogen blending
311,Understanding technical factors associated with using hydrogen blending for heating
312,"Strong industry knowledge and experience with hydrogen technologies, processes equipment, and components to withstand hydrogen pressure and temperatures"
313,"A familiarity with hydrogen’s property risks is needed. This includes an understanding of hydrogen’s lack of odour and invisibility when ignited, as well as its flammability "
314,"Assess integrity of vessels, tanks, piping systems and fitting, valves and seals to withstand hydrogen pressure and temperatures "
315,Comprehensive understanding of aspects of installation and testing procedures that are different due to the nature of hydrogen
316,"They will need familiarity with some of the non-electrical systems they may encounter in electrolysers, including high pressure gas systems and water treatment systems "
317,"In addition, gas inspectors will need to recognise the faults in vessels that may arise from hydrogen chemical reactions (e.g. crack propagation) and the impacts this may have from a safety perspective."
318,"Understanding of acceptance, compliance and materials testing required for hydrogen infrastructure "
319,Understanding properties and characteristics of hydrogen in a gaseous state
320,"They will need to safely work with high voltage systems, including learning how to depower them so that repairs or maintenance work can be undertaken "
321,They will also need to understand which materials may be selected for different hydrogen processes (e.g. stainless steel as a model for transporting hydrogen) 
322,"Appropriate selection, design, and maintenance of power generation equipment including compression, turbines, combustion, and such for hydrogen blending"
323,"Knowledge of hydrogen properties, behaviour and potential hazards created "
324,"Advanced knowledge of regulatory systems, standards and policy related to hydrogen"
325,Knowledge of key electrical equipment used to produce hydrogen
326,"Plumbers will need a basic understanding of hydrogen and its property risks (including its flammability, odour, appearance, and hazardous areas), as well as the faults that may arise from hydrogen’s chemical reactions with steel (e.g. embrittlement and crack propagation) "
327,Knowledge of hydrogen’s property risks and interactions with various materials will be an expected part of a chemical engineers’ work 
328,Knowledge of material rules and welding processes and procedures compatible with hydrogen and hydrogen blending properties 
329,"Loading masters will need familiarity with the various forms in which hydrogen can be stored, particularly liquefied hydrogen, which requires cryogenics and extremely low temperatures in order to maintain in a stable form."
330,"Appropriate selection, design and maintenance of electrolyzers, vessels, compressors, piping systems and fitting, valves and seals to withstand hydrogen pressure (high/low) and temperatures (hot/cold)"
331,They may also need a general understanding of hydrogen fuel cells and their operating principles 
332,Understanding cryogenic and gaseous hydrogen storage and delivery systems
333,Understanding reservoir data as it relates to hydrogen injection and storage
334,"Understanding of properties and characteristics of hydrogen in a gaseous state
"
335,Understanding materials behaviour in high pressure hydrogen
336,Appropriate selection and maintenance of compression and turbine systems and equipment to withstand hydrogen pressure
337,Heavy vehicle operators will need an understanding of fuel cell systems to enable the safe and proper handling of the vehicle 
338,"Electrical instrumentation technicians will need to be prepared for high pressure gas systems, particularly as hydrogen’s lightness poses a risk to small bore tubing and other vessels’ ability to keep the gas contained "
339,"In consultation, hydrogen transport fuel operators noted fitters with previous experience working with hydraulic systems (e.g. experience working in the oil and gas industries) would be well suited in the transition to working with hydrogen."
340,Plant machinery operators will need an understanding of fuel cell systems to enable the safe and proper handling of the vehicle 
341,"Knowledge and selection of the type of materials, coatings, and inhibitors to use to protect from hydrogen corrosion and embrittlement"
342,Understanding of combined- cycle power generation using hydrogen blending 
343,"They will generally need to safely work with high voltage systems, including learning how to depower them so that repairs or maintenance work can be undertaken. "
344,Optimise rectification arrangement for electrolyser plants
345,"Experience and knowledge of hydrogen fuelling equipment, technology, and systems including on-site generation, compression, cooling systems, storage, and dispensing"
346,Truck drivers will also need to have general awareness of the high pressure gas systems that pipes hydrogen 
347,"Stakeholder consultations with engineering, procurement and construction firms noted that, given the multidisciplinary nature of hydrogen projects, a mutual understanding of electrical and gas fitting systems is needed."
348,"Safety when working with or around hydrogen
"
349,"Depending on the hydrogen-related product manufactured, may require hydrogen specific skills/knowledge as listed here"
350,They will need an awareness of the changing market architecture of hydrogen and how regulation is being developed as this will shape consumer interactions with hydrogen technologies.
351,"Strong industry knowledge and experience with hydrogen technologies, processes and equipment, and components to use to withstand hydrogen pressure and temperatures"
