requirement_id,requirement,occupation_id,core_occupation,value_chain,technology,qualifications
165,"Hydrogen properties, behaviour and potential hazards created",139,Fleet manager,End Use,Transport,"Multiple pathways to this career: • Certificate of Qualification in Heavy duty mechanic • Service manager with experience in overseeing a preventative and repair program • Experience with asset management • Supply chain or logistics designation Valid driver's license, + clean abstract Experience in transportation or logistics"
165,"Hydrogen properties, behaviour and potential hazards created",25,Measurement specialist,Production,SMR / ATR,"Multiple pathways to this career: • Bachelor's Degree: Chemical, Electrical & Instrumentation, Mechanical Engineering • Technology Diploma: Chemical, Electrical, Instrumentation or Mechanical Engineering"
165,"Hydrogen properties, behaviour and potential hazards created",18,Maintenance trade - Mechanical,Production,PEM,Certificate of Qualification in Industrial Mechanic or Millwright • Registered apprentice In Ontario: Hydrogen Technician (TSSAH2) certification • Obtained by working under our TSSA-H2 technicians
165,"Hydrogen properties, behaviour and potential hazards created",112,Truck driver - Hydrogen delivery,Transport,Truck,• Class 3 license as a minimum; Class AZ drivers license (ON) • Clean drivers abstract • Comfortable driving dangerous goods • Computer & smartphone skills
165,"Hydrogen properties, behaviour and potential hazards created",140,Fuel cell electric vehicle (FCEV) technician,End Use,Transport,"Certificate of Qualification in Heavy duty mechanic augmented with training on: •Fuel Cell Stack •Electric Traction Motor •DC/DC Converter •Hydrogen Fuel tank •Thermal system cooling •Battery Electrical Technician training is an asset Experience with Codes, Standards and compliance issues of electrical systems in road vehicles Experience with ISO6469-3, LV123 or other electric road vehicle safety standards"
165,"Hydrogen properties, behaviour and potential hazards created",8,Mechanical engineer - Equipment & piping,Production,PEM,Bachelor's Degree: Mechanical Engineering
165,"Hydrogen properties, behaviour and potential hazards created",141,Locomotive engineer,End Use,Transport,Locomotive engineers are typically promoted from the Conductor ranks. Conductor training offered by select group of institutions across Canada or internal company training
165,"Hydrogen properties, behaviour and potential hazards created",111,Pipeline scheduler,Transport,Pipeline,"Post-secondary training in business, commerce or or related discipline"
165,"Hydrogen properties, behaviour and potential hazards created",142,Mechanical engineer - Equipment & piping,End Use,Fueling Station,Bachelor's degree in Mechanical Engineering
165,"Hydrogen properties, behaviour and potential hazards created",27,Mechanical engineer - Equipment & piping,Production,SMR / ATR,Bachelor's Degree: Mechanical Engineering
165,"Hydrogen properties, behaviour and potential hazards created",235,Non-destructive (NDE) inspector and technician,Cross Value Chain,Various,"Combination of education, experience and certification Multiple pathways to this career: • Bachelor's Degree: Materials or Mechanical Engineering • Engineering Technologist Diploma: Materials/Metallurgical, Mechanical Additional relevant certifications from: • American Petroleum Institute (API) • American Society of Mechanical Engineers (ASME) • American Society for Nondestructive Testing (ASNT) • Association for Materials Protection and Performance (AMPP)/National Association of Corrosion Engineers (NACE) • National NDT Certification Body (NDTCB) Valid driver's license + clean abstract"
165,"Hydrogen properties, behaviour and potential hazards created",110,Control centre operator,Transport,Pipeline,"Technology certification in Chemical Engineering, Power Engineering, or Petrochemical Engineering Technology"
165,"Hydrogen properties, behaviour and potential hazards created",28,Mechanical engineer - Reliability,Production,SMR / ATR,Bachelor's Degree: Mechanical Engineering
165,"Hydrogen properties, behaviour and potential hazards created",117,Heavy duty mechanic,Transport,Truck,Certificate of Qualification in Heavy Duty • Registered apprentice Valid driver's license + clean abstract
165,"Hydrogen properties, behaviour and potential hazards created",29,Process control engineer,Production,SMR / ATR,Bachelor's Degree: Chemical or Electrical & Instrumentation Engineering
165,"Hydrogen properties, behaviour and potential hazards created",1,Automation & controls specialist,Production,PEM,"Multiple pathways to this career: • Bachelor's Degree: Automation, Instrumentation & Controls or Electrical Engineering • Certificate of Qualification in Instrument technician • Technology Diploma: Instrumentation or Automation Engineering"
165,"Hydrogen properties, behaviour and potential hazards created",30,Process engineer,Production,SMR / ATR,Bachelor's Degree: Chemical or Process Engineering
165,"Hydrogen properties, behaviour and potential hazards created",32,Control room operator,Production,SMR / ATR,Typically an experienced plant operator. Power Engineer or Stationary Engineer Certificate of Qualification
165,"Hydrogen properties, behaviour and potential hazards created",9,Mechanical engineer - Reliability,Production,PEM,Bachelor's Degree: Mechanical Engineering
165,"Hydrogen properties, behaviour and potential hazards created",234,In-service pressure equipment inspector,Cross Value Chain,Various,"Combination of education, experience and certification • Provincially regulated occupation Multiple pathways to this career: • Bachelor's Degree: Materials, Mechanical, Metallurgical, Welding Engineering • Certificate of Qualification: Power Engineer or Stationary Engineer • Engineering Technologist Diploma: Materials/Metallurgical, Mechanical or Welding Additional relevant certifications from: • American Petroleum Institute (API) • American Society of Mechanical Engineers (ASME) • American Society for Nondestructive Testing (ASNT) • National NDT Certification Body (NDTCB) Valid driver's license + clean abstract"
165,"Hydrogen properties, behaviour and potential hazards created",33,Lab technician,Production,SMR / ATR,"Post-secondary diploma: • Chemical, Process or Petroleum technology • Laboratory technician"
165,"Hydrogen properties, behaviour and potential hazards created",118,Logistics coordinator,Transport,Truck,Bachelor's Degree or Diploma in Business Supply chain or logistics designation
165,"Hydrogen properties, behaviour and potential hazards created",34,Maintenance planner,Production,SMR / ATR,"Multiple pathways to this career: • Certificate of Qualification in Industrial electrician, Industrial mechanic/Millwright or Instrumentation technician • Bachelor's Degree: Electrical or Mechanical Engineering"
165,"Hydrogen properties, behaviour and potential hazards created",233,Corrosion specialist,Cross Value Chain,Various,"Combination of education, experience and certification Multiple pathways to this career: • Bachelor's Degree: Materials or Mechanical Engineering • Engineering Technologist Diploma: Materials/Metallurgical, Mechanical National Association of Corrosion Engineers (NACE) certification Valid driver's license + clean abstract"
165,"Hydrogen properties, behaviour and potential hazards created",35,Maintenance trade - Electrical,Production,SMR / ATR,Certificate of Qualification in Industrial Electrician • Registered apprentice
165,"Hydrogen properties, behaviour and potential hazards created",17,Maintenance trade - Instrumentation & control,Production,PEM,Certificate of Qualification in Instrumentation technician • Registered apprentice
165,"Hydrogen properties, behaviour and potential hazards created",36,Maintenance trade - Instrumentation & controls,Production,SMR / ATR,Certificate of Qualification in Instrumentation technician • Registered apprentice
165,"Hydrogen properties, behaviour and potential hazards created",10,Process control engineer,Production,PEM,Bachelor's Degree: Chemical or Electrical & Instrumentation Engineering
165,"Hydrogen properties, behaviour and potential hazards created",232,Coating inspector,Cross Value Chain,Various,"Combination of education, experience and certification Certification of Qualification: Painter National Association of Corrosion Engineers (NACE) certification • Coating Inspector Society for Protective Coatings (SSPC) certification • Protective Coatings Inspector (NACE & SSPC have recently amalgamated under Association for Materials Protection and Performance (AMPP))"
165,"Hydrogen properties, behaviour and potential hazards created",37,Maintenance trade - Mechanical,Production,SMR / ATR,Certificate of Qualification in Industrial Mechanic or Millwright • Registered apprentice In Ontario: Hydrogen Technician (TSSAH2) certification • Obtained by working under our TSSA-H2 technicians
165,"Hydrogen properties, behaviour and potential hazards created",4,Electrical & instrumentation engineer,Production,PEM,Bachelor's Degree: Electrical & Instrumentation Engineering
165,"Hydrogen properties, behaviour and potential hazards created",108,Pipeline integrity specialist,Transport,Pipeline,"Bachelor's Degree: Chemical, Materials, Metallurgical or Mechanical Engineering National Association of Corrosion Engineers (NACE) certification"
165,"Hydrogen properties, behaviour and potential hazards created",38,Control centre operator,Storage,Underground,"Technology certification in Chemical Engineering, Power Engineering, or Petrochemical Engineering Technology"
165,"Hydrogen properties, behaviour and potential hazards created",39,Plant manager,Production,SMR / ATR,"Likely to be an experienced worker with engineering, maintenance and/or operations experience."
165,"Hydrogen properties, behaviour and potential hazards created",231,Cathodic protection technician,Cross Value Chain,Various,"Combination of education, experience and certification Multiple pathways to this career: • Technologist Diploma: Electrical, Materials Engineering, Mechanical Engineering • Bachelor's Degree: Materials or Mechanical Engineering Cathodic protection technician is a designated occupation in Alberta offering training and certification through Valid driver's license + clean abstract National Association of Corrosion Engineers (NACE) certification • Cathodic Protection Tester"
165,"Hydrogen properties, behaviour and potential hazards created",40,Plant operator,Production,SMR / ATR,Power Engineer or Stationary Engineer Certificate of Qualification Many plants require a minimum 3rd Class certificate
165,"Hydrogen properties, behaviour and potential hazards created",230,Sustainability specialist,Cross Value Chain,Various,"Bachelor's Degree in Engineering Environmental science, Law Familiarity with: • Internationally recognized sustainability reporting standards and frameworks • Climate regulatory policy experience across Canada Understanding of carbon lifecycle analysis models/tools (carbon intensity). • Knowledge of relevant federal, provincial and local government climate activities in Canada"
165,"Hydrogen properties, behaviour and potential hazards created",229,Stakeholder engagement and communications specialist,Cross Value Chain,Various,"Bachelor's degree: Business, Communication, Environmental Management, Policy, Political Science, Social Sciences"
165,"Hydrogen properties, behaviour and potential hazards created",228,Regulatory analyst and compliance specialist,Cross Value Chain,Various,"Multiple pathways to this career: Multiple pathways to this career: • Bachelor's Degree: Business, Accounting, Engineering, Environmental & Science disciplines, Policy • Technology Diploma: Business, Accounting, Environmental & Science disciplines"
165,"Hydrogen properties, behaviour and potential hazards created",20,Plant manager,Production,PEM,"Likely to be an experienced worker with engineering, maintenance and/or operations experience."
165,"Hydrogen properties, behaviour and potential hazards created",227,Construction inspector,Cross Value Chain,Various,Multiple pathways to this career: • Bachelor's Degree: Civil or Mechanical Engineering • Engineering Technologist Diploma: Civil or Mechanical Valid driver's license + clean abstract
165,"Hydrogen properties, behaviour and potential hazards created",226,Indigenous relations specialist,Cross Value Chain,Various,"Multiple pathways to this career: • Bachelor's Degree in First Nations and Indigenous Studies, Political Science, Business Administration, Public Administration, Law, Natural Resources Management, or other related field • A combination of related education and Indigenous relations experience Cultural competency including an understanding of colonization, decolonization, land and governance issues"
165,"Hydrogen properties, behaviour and potential hazards created",224,Government relations specialist,Cross Value Chain,Various,"Bachelor's Degree:  in Business, Engineering, Environmental science, Law, Policy Strong business acumen and experience"
165,"Hydrogen properties, behaviour and potential hazards created",223,"Environment, Social, Governance (ESG) leader",Cross Value Chain,Various,"Bachelor's Degree: Business, Accounting, Engineering, Environmental & Science disciplines, Policy"
165,"Hydrogen properties, behaviour and potential hazards created",222,"Environment, Social, Governance (ESG) analyst",Cross Value Chain,Various,"Multiple pathways to this career: • Bachelor's Degree: Business, Accounting, Environmental & Science disciplines, Policy • Technology Diploma: Business, Accounting, Environmental & Science disciplines"
165,"Hydrogen properties, behaviour and potential hazards created",221,Environmental specialist,Cross Value Chain,Various,"Bachelor's Degree: Environmental Sciences, Geography, Resource Management, Public Policy"
165,"Hydrogen properties, behaviour and potential hazards created",107,Pipeline engineer,Transport,Pipeline,"Bachelor's Degree: Chemical, Civil or Mechanical Engineering"
165,"Hydrogen properties, behaviour and potential hazards created",214,Business & commercial development specialist,Cross Value Chain,Various,"Bachelors Degree in Chemical or Mechanical Engineering Likely supplemented with Master of Business Administration (MBA), or equivalent business development training and experience"
165,"Hydrogen properties, behaviour and potential hazards created",203,Service technician,Manufacturing,Manufacturing,"Multiple pathways to this career: • Bachelor's Degree: Electrical, Electrochemical, Mechanical Engineer • Certificate of Qualification: Electrician, Instrumentation, Industrial Mechanic • Technology diploma: Electrical, Instrumentation or Mechanical Engineering TSSA-H2 Certified Technician for hydrogen-specific components and equipment (ON) Valid driver's license + clean abstract"
165,"Hydrogen properties, behaviour and potential hazards created",106,Corrosion specialist,Transport,Pipeline,"Multiple pathways to this career: • Bachelor's Degree: Materials or Mechanical Engineering • Technologist Diploma: Materials Engineering, Mechanical Engineering A valid driver's license + clean abstract National Association of Corrosion Engineers (NACE) certification"
165,"Hydrogen properties, behaviour and potential hazards created",16,Maintenance trade - Electrical,Production,PEM,Certificate of Qualification in Industrial Electrician • Registered apprentice
165,"Hydrogen properties, behaviour and potential hazards created",105,Compression specialist,Transport,Pipeline,"Multiple pathways to this career: • Bachelor's Degree: Aerospace, Chemical or Mechanical Engineering • Technologist Diploma: Aerospace Engineering, Mechanical Engineering"
165,"Hydrogen properties, behaviour and potential hazards created",104,Automation & controls specialist,Transport,Pipeline,"Multiple pathways to this career: • Bachelor's Degree: Automation, Instrumentation & Controls or Electrical Engineering • Certificate of Qualification in Instrument technician • Technology Diploma: Instrumentation Engineering"
165,"Hydrogen properties, behaviour and potential hazards created",189,Power scheduler,End Use,Power Generation,"Bachelor's degree:  Commerce, Economics, Engineering"
165,"Hydrogen properties, behaviour and potential hazards created",188,Plant operator,End Use,Power Generation,Power Engineer or Stationary Engineer Certificate of Qualification Many plants require a minimum 3rd Class certificate
165,"Hydrogen properties, behaviour and potential hazards created",187,Plant manager,End Use,Power Generation,"Likely to be an experienced worker with engineering, maintenance and/or operations experience."
165,"Hydrogen properties, behaviour and potential hazards created",186,Maintenance trade - Mechanical,End Use,Power Generation,Certificate of Qualification in Industrial Mechanic or Millwright • Registered apprentice In Ontario: Hydrogen Technician (TSSAH2) certification • Obtained by working under our TSSA-H2 technicians
165,"Hydrogen properties, behaviour and potential hazards created",103,Measurement specialist,Storage,Underground,"Multiple pathways to this career: • Bachelor's Degree: Chemical, Electrical & Instrumentation, Mechanical Engineering • Technologist Diploma: Chemical,  Electrical & Instrumentation, Mechanical, Petroleum Engineering"
165,"Hydrogen properties, behaviour and potential hazards created",185,Maintenance trade - Instrumentation & controls,End Use,Power Generation,Certificate of Qualification in Instrumentation technician • Registered apprentice
165,"Hydrogen properties, behaviour and potential hazards created",184,Maintenance trade - Electrical,End Use,Power Generation,Certificate of Qualification in Industrial Electrician • Registered apprentice
165,"Hydrogen properties, behaviour and potential hazards created",183,Maintenance planner,End Use,Power Generation,"Multiple pathways to this career: • Certificate of Qualification in Industrial electrician, Industrial mechanic/Millwright or Instrumentation technician • Bachelor's Degree: Electrical or Mechanical Engineering"
165,"Hydrogen properties, behaviour and potential hazards created",182,Control room operator,End Use,Power Generation,Typically an experienced plant operator. Power Engineer or Stationary Engineer Certificate of Qualification
165,"Hydrogen properties, behaviour and potential hazards created",119,Tank tester/inspector,Transport,Truck,Certification from a training organization registered by Transport Canada to train tank testers and tank inspectors according to the requirements set out in the CSA B620 standard.
165,"Hydrogen properties, behaviour and potential hazards created",148,Electrical & instrumentation engineer,End Use,Fueling Station,Bachelor's Degree: Electrical & instrumentation Engineering
165,"Hydrogen properties, behaviour and potential hazards created",180,Process engineer,End Use,Power Generation,"Bachelor's Degree: Chemical, Electrical, Mechanical or Process Engineering"
165,"Hydrogen properties, behaviour and potential hazards created",123,Measurement specialist,Upgrading,Ammonia,"Bachelor's Degree: Chemical, Electrical & Instrumentation, Mechanical Engineering"
165,"Hydrogen properties, behaviour and potential hazards created",179,Process control engineer,End Use,Power Generation,Bachelor's Degree: Chemical or Electrical & Instrumentation Engineering
165,"Hydrogen properties, behaviour and potential hazards created",178,Mechanical engineer - Reliability,End Use,Power Generation,Bachelor's Degree: Mechanical Engineering
165,"Hydrogen properties, behaviour and potential hazards created",177,Mechanical engineer - Equipment & piping,End Use,Power Generation,Bachelor's Degree: Mechanical Engineering
165,"Hydrogen properties, behaviour and potential hazards created",120,Automation & controls specialist,Upgrading,Ammonia,"Multiple pathways to this career: • Bachelor's Degree: Automation, Instrumentation & Controls or Electrical Engineering • Certificate of Qualification in Instrument technician • Instrumentation Engineering Technology diploma"
165,"Hydrogen properties, behaviour and potential hazards created",176,Hydrogen integration specialist,End Use,Power Generation,"Bachelor's degree in Chemical, Electrical, or Mechanical Engineering Strong knowledge of trending low carbon transition technologies and initiatives with special attention to hydrogen ."
165,"Hydrogen properties, behaviour and potential hazards created",175,Facility engineer,End Use,Power Generation,"Bachelor's Degree: Chemical, Process or Mechanical Engineering ."
165,"Hydrogen properties, behaviour and potential hazards created",174,Electrical & instrumentation engineer,End Use,Power Generation,Bachelor's Degree: Electrical & Instrumentation Engineering
165,"Hydrogen properties, behaviour and potential hazards created",15,Maintenance planner,Production,PEM,"Multiple pathways to this career: • Certificate of Qualification in Industrial electrician, Industrial mechanic/Millwright or Instrumentation technician • Bachelor's Degree: Electrical or Mechanical Engineering"
165,"Hydrogen properties, behaviour and potential hazards created",173,Electrical engineer,End Use,Power Generation,Bachelor's Degree: Electrical Engineering
165,"Hydrogen properties, behaviour and potential hazards created",172,Compression specialist,End Use,Power Generation,"Multiple pathways to this career: • Bachelor's Degree: Aerospace, Chemical or Mechanical Engineering • Technologist Diploma: Aerospace Engineering, Mechanical Engineering"
165,"Hydrogen properties, behaviour and potential hazards created",171,Welding engineer,End Use,Heating,"Bachelor's Degree: Materials, Mechanical Engineering Specialist training in Welding Engineering Related qualifications and certifications from the following agencies may be of benefit: • American Petroleum Institute (API) • American Society of Mechanical Engineers (ASME) • American Society for Nondestructive Testing (ASNT) • CSA/Standards Council of Canada (SCC) • International Organization of Standardization (ISO) • National NDT Certification Body (NDTCB) • Quality management programs"
165,"Hydrogen properties, behaviour and potential hazards created",98,Well completions operators,Storage,Underground,Valid Class 1 or Class 3 Driver's licence and clean driver's abstract • Legally eligible to work in Canada • Physically fit • Ability to work safely and plan ahead • Mechanical aptitude • Oilfield safety certifications Comfortable driving off- highway/off-road
165,"Hydrogen properties, behaviour and potential hazards created",160,Truck Driver - Hydrogen fuel delivery,End Use,Fueling Station,• Class 3 license as a minimum; Class AZ drivers license (ON) • Clean drivers abstract • Comfortable driving dangerous goods • Computer & smartphone skills
165,"Hydrogen properties, behaviour and potential hazards created",159,Maintenance technician - Electrical & mechanical,End Use,Fueling Station,"Multiple pathways to this career: • Journey certification: Aircraft Mechanic, Electrical, Gasfitter (Class A or B), Industrial Mechanic (Millwright) or Instrumentation Technician • Registered apprentice • Technologist Diploma: Aerospace, Instrumentation or Mechanical Engineering Technologist Experience with welding and brazing an asset Valid driver's licence + clean abstract"
165,"Hydrogen properties, behaviour and potential hazards created",158,Maintenance technician - Compression,End Use,Fueling Station,"Multiple pathways to this career: • Journey certification: Electrical, Industrial Mechanic (Millwright) or Instrumentation Technician • Registered apprentice • Technologist Diploma: Aerospace, Instrumentation or Mechanical Engineering Technologist Valid driver's licence + clean abstract"
165,"Hydrogen properties, behaviour and potential hazards created",157,Logistics coordinator,End Use,Fueling Station,Bachelor's Degree or Diploma in Business Supply chain or logistics designation
165,"Hydrogen properties, behaviour and potential hazards created",97,Service rig crew,Storage,Underground,"Leasehand is the entry level position on a service rig crew. Requirements include: • Legally eligible to work in Canada • At least 18 years of age • Possess a valid driver's license • Physically fit • Ability to work safely and plan ahead • Mechanical aptitude • Oilfield safety certifications Must pass pre-employment drug and alcohol test With experience, Leasehands can progress through to: Floorhand, Derrickhand, Driller and Operator positions."
165,"Hydrogen properties, behaviour and potential hazards created",156,Fueling station technician,End Use,Fueling Station,Post-secondary training as a Mechanical or Compression technician
165,"Hydrogen properties, behaviour and potential hazards created",162,Hydrogen integration specialist,End Use,Heating,"Bachelor's degree in Chemical, Electrical, or Mechanical Engineering Strong knowledge of trending low carbon transition technologies and initiatives with special attention to hydrogen"
165,"Hydrogen properties, behaviour and potential hazards created",21,Plant operator,Production,PEM,"Multiple pathways to this career: • Technology Diploma in petrochemistry, chemical processes or power engineering • Class A, Class B refrigeration for liquification process"
165,"Hydrogen properties, behaviour and potential hazards created",161,Asset performance manager,End Use,Heating,Bachelor's degree in Mechanical Engineering
167,"Design and selection of pressure vessels, piping systems and fitting, valves and seals, coatings and insulation to withstand hydrogen pressure and temperatures associated with hydrogen fueling system",142,Mechanical engineer - Equipment & piping,End Use,Fueling Station,Bachelor's degree in Mechanical Engineering
175,"Appropriate selection, design and maintenance of related production equipment, materials, coatings, etc.",5,Facility engineer,Production,PEM,"Bachelor's Degree: Chemical, Process or Mechanical Engineering ."
175,"Appropriate selection, design and maintenance of related production equipment, materials, coatings, etc.",24,Facility engineer,Production,SMR / ATR,"Bachelor's Degree: Chemical, Process or Mechanical Engineering ."
178,Appropriate selection and maintenance of key electrical and electronic equipment and systems associated with an electrolyzer hydrogen production plant,16,Maintenance trade - Electrical,Production,PEM,Certificate of Qualification in Industrial Electrician • Registered apprentice
180,EMC/EMI compliance and standards,140,Fuel cell electric vehicle (FCEV) technician,End Use,Transport,"Certificate of Qualification in Heavy duty mechanic augmented with training on: •Fuel Cell Stack •Electric Traction Motor •DC/DC Converter •Hydrogen Fuel tank •Thermal system cooling •Battery Electrical Technician training is an asset Experience with Codes, Standards and compliance issues of electrical systems in road vehicles Experience with ISO6469-3, LV123 or other electric road vehicle safety standards"
181,"Experience with Codes, Standards and compliance issues of electrical systems in road vehicles",143,Locomotive mechanic (shop and field),End Use,Transport,"Certificate of Qualification: Heavy Duty Mechanic, Electrician, Automotive Technician • Registered apprentice Mix of mechanical and electrical experience is an asset"
181,"Experience with Codes, Standards and compliance issues of electrical systems in road vehicles",140,Fuel cell electric vehicle (FCEV) technician,End Use,Transport,"Certificate of Qualification in Heavy duty mechanic augmented with training on: •Fuel Cell Stack •Electric Traction Motor •DC/DC Converter •Hydrogen Fuel tank •Thermal system cooling •Battery Electrical Technician training is an asset Experience with Codes, Standards and compliance issues of electrical systems in road vehicles Experience with ISO6469-3, LV123 or other electric road vehicle safety standards"
182,"Keep up-to-date with changes to hydrogen technology, regulations, standards and codes",180,Process engineer,End Use,Power Generation,"Bachelor's Degree: Chemical, Electrical, Mechanical or Process Engineering"
182,"Keep up-to-date with changes to hydrogen technology, regulations, standards and codes",237,Welding inspector,Cross Value Chain,Various,"Combination of education, experience and certification Multiple pathways to this career: • Certification of Qualification: Welder • Bachelor's Degree: Materials or Mechanical Engineering • Technologist Diploma: Materials Engineering, Mechanical Engineering Canadian Welding Bureau (CWB) certification for Welding Inspectors Valid driver's license + clean abstract"
182,"Keep up-to-date with changes to hydrogen technology, regulations, standards and codes",128,Process safety engineer,Upgrading,Ammonia,"Bachelor's Degree: Chemical or Process Engineering Significant experience in process equipment, engineering, safety and operational risk management • Process Hazard Analysis techniques (HAZOP, FMEA) • What-If studies, quantitative and semi-quantitative risk assessments (LOPA and FTA/ETA) • Reliability/Survival analysis • Knowledge of OSHA 1910.119, CSA Z767, CSA Z260, ISO 31000, API 1173 and related codes and standards."
182,"Keep up-to-date with changes to hydrogen technology, regulations, standards and codes",144,Transportation solutions advisor,End Use,Transport,"Bachelor's Degree: Chemical, Mechanical Engineering"
182,"Keep up-to-date with changes to hydrogen technology, regulations, standards and codes",235,Non-destructive (NDE) inspector and technician,Cross Value Chain,Various,"Combination of education, experience and certification Multiple pathways to this career: • Bachelor's Degree: Materials or Mechanical Engineering • Engineering Technologist Diploma: Materials/Metallurgical, Mechanical Additional relevant certifications from: • American Petroleum Institute (API) • American Society of Mechanical Engineers (ASME) • American Society for Nondestructive Testing (ASNT) • Association for Materials Protection and Performance (AMPP)/National Association of Corrosion Engineers (NACE) • National NDT Certification Body (NDTCB) Valid driver's license + clean abstract"
182,"Keep up-to-date with changes to hydrogen technology, regulations, standards and codes",234,In-service pressure equipment inspector,Cross Value Chain,Various,"Combination of education, experience and certification • Provincially regulated occupation Multiple pathways to this career: • Bachelor's Degree: Materials, Mechanical, Metallurgical, Welding Engineering • Certificate of Qualification: Power Engineer or Stationary Engineer • Engineering Technologist Diploma: Materials/Metallurgical, Mechanical or Welding Additional relevant certifications from: • American Petroleum Institute (API) • American Society of Mechanical Engineers (ASME) • American Society for Nondestructive Testing (ASNT) • National NDT Certification Body (NDTCB) Valid driver's license + clean abstract"
182,"Keep up-to-date with changes to hydrogen technology, regulations, standards and codes",31,Process safety engineer,Production,SMR / ATR,"Bachelor's Degree: Chemical or Process Engineering Significant experience in process equipment, engineering, safety and operational risk management • Process Hazard Analysis techniques (HAZOP, FMEA) • What-If studies, quantitative and semi-quantitative risk assessments (LOPA and FTA/ETA) • Reliability/Survival analysis • Knowledge of OSHA 1910.119, CSA Z767, CSA Z260, ISO 31000, API 1173 and related codes and standards."
182,"Keep up-to-date with changes to hydrogen technology, regulations, standards and codes",233,Corrosion specialist,Cross Value Chain,Various,"Combination of education, experience and certification Multiple pathways to this career: • Bachelor's Degree: Materials or Mechanical Engineering • Engineering Technologist Diploma: Materials/Metallurgical, Mechanical National Association of Corrosion Engineers (NACE) certification Valid driver's license + clean abstract"
182,"Keep up-to-date with changes to hydrogen technology, regulations, standards and codes",227,Construction inspector,Cross Value Chain,Various,Multiple pathways to this career: • Bachelor's Degree: Civil or Mechanical Engineering • Engineering Technologist Diploma: Civil or Mechanical Valid driver's license + clean abstract
182,"Keep up-to-date with changes to hydrogen technology, regulations, standards and codes",181,Process safety engineer,End Use,Power Generation,"Bachelor's Degree: Chemical or Process Engineering Significant experience in process equipment, engineering, safety and operational risk management • Process Hazard Analysis techniques (HAZOP, FMEA) • What-If studies, quantitative and semi-quantitative risk assessments (LOPA and FTA/ETA) • Reliability/Survival analysis • Knowledge of OSHA 1910.119, CSA Z767, CSA Z260, ISO 31000, API 1173 and related codes and standards."
182,"Keep up-to-date with changes to hydrogen technology, regulations, standards and codes",179,Process control engineer,End Use,Power Generation,Bachelor's Degree: Chemical or Electrical & Instrumentation Engineering
182,"Keep up-to-date with changes to hydrogen technology, regulations, standards and codes",178,Mechanical engineer - Reliability,End Use,Power Generation,Bachelor's Degree: Mechanical Engineering
182,"Keep up-to-date with changes to hydrogen technology, regulations, standards and codes",177,Mechanical engineer - Equipment & piping,End Use,Power Generation,Bachelor's Degree: Mechanical Engineering
182,"Keep up-to-date with changes to hydrogen technology, regulations, standards and codes",176,Hydrogen integration specialist,End Use,Power Generation,"Bachelor's degree in Chemical, Electrical, or Mechanical Engineering Strong knowledge of trending low carbon transition technologies and initiatives with special attention to hydrogen ."
182,"Keep up-to-date with changes to hydrogen technology, regulations, standards and codes",171,Welding engineer,End Use,Heating,"Bachelor's Degree: Materials, Mechanical Engineering Specialist training in Welding Engineering Related qualifications and certifications from the following agencies may be of benefit: • American Petroleum Institute (API) • American Society of Mechanical Engineers (ASME) • American Society for Nondestructive Testing (ASNT) • CSA/Standards Council of Canada (SCC) • International Organization of Standardization (ISO) • National NDT Certification Body (NDTCB) • Quality management programs"
182,"Keep up-to-date with changes to hydrogen technology, regulations, standards and codes",170,Utility services technician,End Use,Heating,"Multiple pathways to this career: • Bachelor's Degree: Civil, Mechanical Engineering • Engineering Technology Diploma: Civil, Mechanical Related tickets/certifications considered an asset: • Damage Prevention • Gas Pipeline Inspection Valid driver's license + clean abstract"
182,"Keep up-to-date with changes to hydrogen technology, regulations, standards and codes",169,Utility services planner,End Use,Heating,"Multiple pathways to this career: • Bachelor's Degree: Civil, Mechanical Engineering • Engineering Technology Diploma: Civil, Mechanical Related tickets/certifications considered an asset: • Damage Prevention • Gas Pipeline Inspection Valid driver's license + clean abstract"
182,"Keep up-to-date with changes to hydrogen technology, regulations, standards and codes",167,Utility inspector,End Use,Heating,"Multiple pathways to this career: • Bachelor's Degree: Civil, Mechanical Engineering • Engineering Technology Diploma: Civil, Mechanical Related tickets/certifications considered an asset: • Damage Prevention • Gas Pipeline Inspection Valid driver's license + clean abstract"
182,"Keep up-to-date with changes to hydrogen technology, regulations, standards and codes",165,"HVAC technician (also known as: Refrigeration and Air Conditioning Mechanic, HVAC-R technician)",End Use,Heating,Certification of Qualification: Refrigeration and Air Conditioning Mechanic • Registered apprentice Valid driver's license + clean abstract
182,"Keep up-to-date with changes to hydrogen technology, regulations, standards and codes",11,Process safety engineer,Production,PEM,"Bachelor's Degree: Chemical or Process Engineering Significant experience in process equipment, engineering, safety and operational risk management • Process Hazard Analysis techniques (HAZOP, FMEA) • What-If studies, quantitative and semi-quantitative risk assessments (LOPA and FTA/ETA) • Reliability/Survival analysis • Knowledge of OSHA 1910.119, CSA Z767, CSA Z260, ISO 31000, API 1173 and related codes and standards."
182,"Keep up-to-date with changes to hydrogen technology, regulations, standards and codes",164,"Gasfitter (also known as: Gas technician, Customer service technician, Gas Servicer)",End Use,Heating,"Certification of Qualification: Gasfitter • Registered apprentice There are two types : • Gasfitter 1st Class: works on all equipment • Gasfitter 2nd Class: works on equipment with less than 400,000 BTUs (British thermal units) Valid driver's license + clean abstract Welding experience/credentials are considered an asset"
